id_source,id_destination,distance_in_meters_bicycle
1,1,0
1,2,1268
1,3,1158
1,4,358
1,5,1631
1,6,730
1,7,953
1,9,1292
1,10,1241
1,11,292
1,12,216
1,13,1868
1,14,1848
1,15,2198
1,16,2392
1,17,2604
1,18,2786
1,19,3950
1,20,2675
1,21,3165
1,22,2991
1,23,3969
1,24,4408
1,25,4320
1,26,4063
1,28,3772
1,30,3982
1,32,4739
1,33,5116
1,34,11658
1,35,4023
1,36,4014
1,37,3571
1,39,3311
1,40,4017
1,41,12668
1,43,12979
1,44,4705
1,46,12963
1,47,3755
1,48,3751
1,50,3053
1,51,11724
1,53,2670
1,56,2192
1,57,2916
1,58,2548
1,59,1594
1,60,9985
1,61,8921
1,62,8376
1,63,3372
1,64,7809
1,65,7677
1,66,6485
1,67,7395
1,68,4154
1,69,3604
1,70,4516
1,71,5020
1,72,4769
1,73,4915
1,74,5092
1,75,5837
1,76,5338
1,77,5508
1,79,7265
1,80,4983
1,81,6226
1,82,5806
1,83,3781
1,85,3949
1,86,4460
1,87,4509
1,88,5060
1,89,4689
1,90,5762
1,91,6398
1,92,6293
1,93,6721
1,95,6231
1,96,5674
1,97,4369
1,98,6044
1,99,5821
1,100,6484
1,101,5321
1,102,5959
1,103,5542
1,105,4782
1,106,5617
1,107,5751
1,109,4908
1,110,5369
1,112,6051
1,113,4888
1,114,5291
1,115,4859
1,117,4183
1,118,4223
1,119,3899
1,120,4556
1,121,3946
1,122,4901
1,123,4218
1,124,4869
1,125,4761
1,126,4954
1,127,5403
1,128,5497
1,129,5926
1,130,5444
1,131,5974
1,132,6404
1,133,6592
1,135,5410
1,138,3411
1,140,4460
1,141,2094
1,142,6983
1,143,2914
1,144,2794
1,145,5866
1,146,6318
1,149,6807
1,150,7683
1,151,7459
1,153,7523
1,154,7212
1,155,6798
1,156,6615
1,158,5723
1,159,7984
1,162,5349
1,163,5443
1,165,4644
1,167,5774
1,169,6788
1,171,7377
1,173,7565
1,174,7299
1,175,4546
1,176,6441
1,177,7269
1,178,6328
1,181,6341
1,183,5672
1,186,5221
1,187,5252
1,189,1002
1,192,5677
1,193,2361
1,194,5684
1,196,6819
1,197,6031
1,198,6400
1,199,7317
1,201,2923
1,204,3924
1,205,3482
1,206,3311
1,207,3326
1,208,3140
1,211,2631
1,212,3307
1,215,2085
1,216,2214
1,217,2227
1,219,1465
1,220,1812
1,222,1472
1,223,1566
1,224,1144
1,225,2372
1,227,1021
1,229,773
1,230,1146
1,231,1056
1,232,450
1,234,1617
1,235,1595
1,236,1698
1,237,1696
1,238,2044
1,240,2331
1,241,2789
1,242,5332
1,243,5484
1,244,2438
1,245,3882
1,246,3191
1,247,4499
1,248,4903
1,249,4815
1,250,5121
1,251,5473
1,252,4502
1,253,5992
1,254,5584
1,255,6485
1,256,6705
1,257,7301
1,258,7034
1,259,6195
1,260,7127
1,261,2866
1,262,3783
1,263,3527
1,264,4628
1,267,5841
1,268,5896
1,270,2002
1,272,8007
1,279,5221
1,280,4102
1,281,3382
1,282,5873
1,286,6089
1,287,6985
1,290,7261
1,292,7182
1,293,7622
1,295,8108
1,296,7505
1,297,6959
1,301,7244
1,303,7430
1,304,7662
1,305,7840
1,307,8545
1,308,8388
1,311,8900
1,312,6321
1,313,7555
1,315,7864
1,316,9332
1,317,8626
1,319,6225
1,320,6679
1,321,5908
1,322,6138
1,324,5954
1,325,5523
1,328,6417
1,332,6005
1,333,6915
1,334,6258
1,335,5891
1,336,5906
1,339,7166
1,341,7986
1,344,7338
1,345,7380
1,346,7694
1,347,8410
1,354,6689
1,355,6264
1,358,4436
1,359,5978
2,1,1267
2,2,0
2,3,629
2,4,1454
2,5,1102
2,6,1826
2,7,2049
2,9,2389
2,10,2337
2,11,1441
2,12,1366
2,13,2965
2,14,2944
2,15,3294
2,16,3489
2,17,3700
2,18,3882
2,19,5047
2,20,3772
2,21,4261
2,22,4088
2,23,5065
2,24,5505
2,25,5416
2,26,5159
2,28,4868
2,30,5078
2,32,5835
2,33,6212
2,34,13638
